username, created_at, lng, lat, text
frenchcori, Sun Jun 07 20:52:51 +0000 2020, -117.397616, 33.935822, @OfficalRCDP @AliVelshi Oh you found that 😂 
josetor90055188, Sun Jun 07 20:52:51 +0000 2020, -73.968542, 40.780709, @carlosdelamota Tira palante que tú no estás solo solo están ellos que el pueblo los odias 
socalsalty, Sun Jun 07 20:52:51 +0000 2020, -122.313440, 47.385752, All dressed in uniforms of brutality... #TrumpBunkerSongs https://t.co/9edDRNRdAm 
yomoflow858, Sun Jun 07 20:52:51 +0000 2020, -117.104989, 32.810012, @charliekirk11 If there's one disdain for the American divide, it's Trump! 
CollegeSCrazy1, Sun Jun 07 20:52:51 +0000 2020, -84.433106, 33.767195, Need it now 😍😘 
madelynshearon_, Sun Jun 07 20:52:51 +0000 2020, -94.972361, 35.916336, @lindseymckinsey 🥺my stomach has been hurting thinking about it 
partygrldanelle, Sun Jun 07 20:52:51 +0000 2020, -75.165100, 39.952700, BOB!!!!! @ Philadelphia, Pennsylvania https://t.co/8yfymRCdk0 
ANAJIMENEZVAL, Sun Jun 07 20:52:51 +0000 2020, -116.929102, 32.332876, @marthadebayle Voy en el día 76 https://t.co/D2QrN6nkGL 
cliffdove, Sun Jun 07 20:52:51 +0000 2020, -79.420865, 38.003376, I have a little something to say, Darrell Wallace, Jr. known as @BubbaWallace  has spent the last several seasons d… https://t.co/SYBFCRaIen 
MitchellB66, Sun Jun 07 20:52:51 +0000 2020, -91.636674, 44.038690, .@mattdracing inside the top-10 after being the free pass earlier.#NASCAR 
RossRead, Sun Jun 07 20:52:51 +0000 2020, -87.732013, 41.833585, I'm giving Ozark another chance. When I tried to watch it years ago my son was an infant and really I just couldn't… https://t.co/jlv8Pc2OGr 
kbyous0102, Sun Jun 07 20:52:51 +0000 2020, -83.173867, 32.678207, She is so smart! #myperson #Iloveyou 
cliffdove, Sun Jun 07 20:52:51 +0000 2020, -79.420865, 38.003376, subscribe to all the tenets of the movement, I cannot understand why.  Bubba has consistently faced the worst of th… https://t.co/oVpDm9z8be 
meranyaizer, Sun Jun 07 20:52:51 +0000 2020, -79.272570, 43.629311, @TAMANE_MGMSLT タちゃん🧡🧡🧡おやすみ！ 
osamabinpopping, Sun Jun 07 20:52:51 +0000 2020, -95.446486, 29.838495, ribs, dirty rice &amp; greens 🥳 
